threadID,sectionID,event,val,ts,ticket
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599138969224,202
id_140527665071936,devolverBicicleta,END_FUNC_PROC,0,1,1573929599139045299,203
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,1,1573929599139110807,204
id_140527665071936,devolverBicicleta,END_FUNC_PROC,0,1,1573929599139177481,205
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929599139245519,206
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599146354638,207
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599150271885,208
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,0,1573929599150329645,209
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929599150391378,210
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599154513470,211
id_140527665071936,devolverBicicleta,END_FUNC_PROC,0,1,1573929599154575527,212
id_140527665071936,devolverBicicleta,END_FUNC_PROC,0,1,1573929599154609016,213
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,1,1573929599155426838,214
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,1,1573929599155478923,215
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,1,1573929599155543897,216
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,1,1573929599158409048,217
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,1,1573929599161300761,218
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,1,1573929599161350143,219
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929599161418999,220
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599162025097,221
id_140527665071936,devolverBicicleta,END_FUNC_PROC,0,1,1573929599162070206,222
id_140527665071936,devolverBicicleta,END_FUNC_PROC,0,1,1573929599162151107,223
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,1,1573929599166006886,224
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,1,1573929599170519084,225
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,1,1573929599170578951,226
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929599170629868,227
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599170700624,228
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929599171937799,229
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599179889397,230
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929599180026585,231
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599181913745,232
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,0,1573929599181977489,233
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929599182058086,234
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599182688275,235
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,0,1573929599182731212,236
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929599182807565,237
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599183457572,238
id_140527665071936,devolverBicicleta,END_FUNC_PROC,0,1,1573929599183519189,239
id_140527665071936,devolverBicicleta,END_FUNC_PROC,0,1,1573929599183605495,240
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,1,1573929599189261248,241
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,1,1573929599189310591,242
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,1,1,1573929599189411075,243
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,1,1573929599189445484,244
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,1,1573929599190119590,245
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,1,1573929599190154872,246
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,1,1,1573929599195441652,247
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,1,1573929599195487471,248
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,1,1573929599195648685,249
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,1,1573929599201692386,250
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,1,1573929599201752064,251
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,1,1573929599201785466,252
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,1,1573929599202814613,253
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,1,1573929599205136703,254
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,1,1573929599205197582,255
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,1,1573929599205278026,256
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,1,1573929599213933033,257
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,1,1573929599217639097,258
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,1,1573929599217698091,259
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,1,1573929599217771331,260
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,1,1573929599224383693,261
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,1,1573929599225895203,262
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,1,1573929599225939321,263
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,1,1573929599226024821,264
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,1,1573929599226810415,265
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,1,1573929599226936439,266
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,1,1573929599227683067,267
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,1,1573929599227728727,268
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,1,1573929599227764751,269
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,1,1573929599228229891,270
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,1,1573929599229381657,271
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,1,1573929599229425643,272
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929599229511398,273
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929599231134048,274
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929599235357792,275
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599236530480,276
id_140527665071936,devolverBicicleta,END_FUNC_PROC,0,1,1573929599236611175,277
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,1,1573929599236658813,278
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929599236739911,279
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599236865779,280
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,0,1573929599236902089,281
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,0,1573929599237004567,282
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,1,0,1573929599241493424,283
id_140527665071936,devolverBicicleta,END_FUNC_PROC,2,0,1573929599241543745,284
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,2,0,1573929599247858372,285
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,1,0,1573929599247916803,286
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,1,0,1573929599251796143,287
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929599251828925,288
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599252715568,289
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929599254906787,290
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929599258198815,291
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929599261617436,292
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929599266705365,293
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929599268034415,294
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599268161361,295
